Cities,Latitude,Temp,Humidity,Cloud Cover,Wind Speed
Los Llanos de Aridane,28.66,18.0,42,0,1.5
Rikitea,-23.12,26.64,100,80,5.57
Port Alfred,-33.59,19.72,96,48,3.02
Hilo,19.71,22.0,73,90,4.6
Vaini,15.34,20.0,56,0,1.57
Te Anau,-45.41,11.84,51,0,1.32
Thompson,55.74,-26.0,56,5,4.1
Cape Town,-33.93,19.0,100,0,4.6
Doka,13.52,26.04,30,0,5.17
Esperance,10.24,23.0,94,75,2.6
Jalu,29.03,8.67,80,0,3.02
Kaitangata,-46.28,13.54,67,0,4.67
Vostok,46.45,-7.71,71,76,2.47
Sibolga,1.74,19.39,100,8,1.07
Ushuaia,-54.81,6.0,48,75,9.8
Khatanga,71.98,-24.29,56,56,1.52
Port Elizabeth,39.31,8.79,81,1,5.1
Klaksvik,62.23,9.0,100,88,4.1
Elko,40.83,4.0,60,90,4.1
Lere,9.66,24.87,85,92,1.82
Am Timan,11.04,28.54,50,24,5.72
Huarmey,-10.07,22.62,77,24,1.52
Greenwood,32.03,13.29,30,0,4.1
Mar del Plata,-46.43,9.67,64,32,5.67
Butaritari,3.07,28.62,100,44,7.87
Jamestown,-33.21,26.47,40,20,3.42
Bambous Virieux,-20.34,27.0,83,75,2.1
Albany,42.65,4.0,80,90,7.2
Palmer,-34.85,34.0,14,0,3.1
Mataura,-46.19,14.64,57,0,3.22
Puerto Ayora,-0.74,29.0,74,75,4.1
Broken Hill,-31.97,28.0,24,48,6.2
Golubitskaya,45.32,-6.0,92,36,3.0
Lagos,6.46,23.0,100,20,3.47
San Jose,15.79,21.64,83,8,1.27
Xichang,27.88,7.27,25,0,1.22
Slave Lake,55.28,-22.0,69,1,1.0
Necochea,-38.55,13.02,83,32,7.02
Arraial do Cabo,-22.97,27.04,86,64,3.02
Castro,-42.48,11.0,62,0,2.6
Hermanus,-34.42,13.52,97,0,1.22
Road Town,18.42,25.0,65,20,4.1
Kodiak,39.95,-7.35,67,1,4.6
Ballina,54.11,11.47,87,76,6.32
Khasan,42.43,-0.11,77,0,2.92
Avarua,-21.21,27.0,69,0,4.6
Mahebourg,-20.41,27.0,83,75,2.1
Tripoli,37.51,6.0,56,56,4.1
Kushima,31.5,11.95,87,75,3.1
Lakselv,70.05,1.28,74,90,10.3
Tiksi,71.64,-21.26,56,68,8.42
Pangkalanbuun,-2.68,23.79,99,24,1.87
Hasaki,35.73,10.41,71,75,3.1
Tasiilaq,65.61,0.0,91,92,22.1
Souillac,45.6,5.0,93,20,1.5
Gat,14.69,22.0,43,0,4.6
Ayagoz,47.96,-15.34,73,32,2.57
Busselton,-33.64,20.17,100,20,10.72
Taoudenni,22.68,12.89,24,0,4.57
Saint-Augustin,44.83,3.8,93,0,1.0
Enshi,30.29,1.62,97,88,1.37
Kruisfontein,-34.0,15.72,87,0,1.27
Uyuni,-20.46,12.52,43,88,1.42
Bambanglipuro,-7.95,23.59,98,0,1.87
Mount Isa,-20.73,31.0,48,12,5.1
Jackville,5.21,28.0,94,20,3.6
Kiunga,-6.12,25.89,88,76,1.22
Hithadhoo,-0.6,28.12,100,92,3.22
Kapaa,22.08,26.0,61,20,7.7
Bluff,-23.58,28.64,41,0,5.77
Ruteng,-8.61,25.37,89,8,1.62
Sonipat,29.0,13.0,82,20,1.5
Tabou,4.42,28.39,97,0,5.82
Felanitx,39.47,3.0,100,0,1.0
Yasenskaya,46.36,-10.54,100,36,1.87
Amahai,-3.31,28.49,100,64,2.37
Chuy,-33.69,19.54,84,48,4.57
Tuatapere,-46.13,12.72,94,0,2.07
Georgetown,6.8,24.66,74,20,4.1
Bredasdorp,-34.53,17.0,88,12,1.27
Shuangyang,25.0,10.14,95,88,1.87
Lingyuan,41.24,-7.16,52,0,1.17
Nikolskoye,59.7,2.0,80,75,7.0
Chokurdakh,70.62,-39.51,0,0,2.42
Quatre Cocos,-20.21,27.0,83,75,2.1
Provideniya,64.42,0.0,92,75,12.0
Tuktoyaktuk,69.44,-13.0,84,75,2.6
Alofi,-19.06,27.0,83,88,6.2
New Norfolk,-42.78,26.0,22,0,4.6
Kamina,-8.74,20.09,87,36,0.87
Kalispell,48.2,-9.0,56,90,9.8
Salalah,17.01,23.0,78,20,1.0
Atuona,-9.8,26.84,100,20,5.07
Timra,62.49,6.58,52,0,6.7
Lebu,8.96,14.0,71,20,2.1
Yellowknife,62.45,-23.0,63,40,1.5
Punta Arenas,-53.16,8.0,65,0,9.3
Salinas,36.67,13.02,66,1,4.6
Cabras,5.5,16.14,96,92,0.52
Chifeng,42.27,-9.51,55,0,1.22
Leningradskiy,69.38,-15.29,100,64,4.02
Vila Velha,-3.71,26.0,83,20,1.5
Marystown,47.17,-11.36,100,0,4.22
Athabasca,54.72,-18.59,76,0,1.52
Faya,18.39,16.0,55,40,1.5
Egvekinot,66.32,-8.91,77,56,7.52
Ostrovnoy,68.05,0.72,100,92,3.97
Yumen,40.29,-13.26,61,0,1.57
Khandyga,62.65,-30.11,63,56,1.22
Brandon,43.59,-17.51,70,1,8.7
Rawson,-43.3,10.62,40,0,8.27
Blind River,46.19,-3.49,92,90,6.2
Komsomolskiy,67.55,-9.49,78,92,3.22
Beloha,-25.17,21.79,90,0,1.87
Ancud,-41.87,11.0,62,0,2.6
Port Moresby,-9.47,32.0,59,40,8.7
Saint-Francois,46.42,1.0,81,0,1.0
Springbok,-29.67,11.27,65,8,1.07
Sitka,37.17,6.72,59,48,3.57
Lohja,60.25,5.0,60,0,9.3
Ribeira Grande,38.52,14.29,100,12,10.07
Keelung,25.13,17.0,93,75,1.0
Kedrovyy,56.17,-3.0,45,0,6.0
Hobart,-42.88,26.0,22,0,4.6
Qobustan,40.08,6.0,87,90,4.1
Porto Novo,-23.68,27.0,65,20,2.1
Cam Ranh,11.92,25.0,73,20,3.1
Saint-Pierre,48.95,3.34,55,0,3.6
Baculin,7.45,24.79,87,8,4.67
Aitape,-3.15,27.64,91,32,1.07
Mareeba,-16.99,29.0,66,75,6.7
Bandarbeyla,9.49,25.12,100,92,6.62
Kedougou,12.56,18.14,32,0,3.02
Cuencame,24.87,21.52,19,8,0.72
Cairns,-16.92,29.0,66,75,6.7
Ixtapa,20.71,23.0,78,75,2.6
Chinsali,-10.55,15.27,90,8,1.22
Talnakh,69.49,-15.34,75,80,4.02
Kankon,15.02,27.09,100,0,3.92
Basco,40.33,-5.61,57,1,6.7
Sao Felix do Xingu,-6.64,25.04,89,36,0.97
Rorvik,64.86,5.39,92,92,9.97
Kahului,20.89,24.52,53,20,7.2
Touros,-5.2,26.0,94,40,1.5
Cockburn Town,21.46,25.64,96,0,8.37
Filadelfia,-22.35,36.09,33,36,7.72
Pisco,-13.71,24.0,83,0,2.6
Kaltasy,55.97,-9.76,83,76,2.92
Luderitz,-26.65,18.87,67,0,7.22
Hamilton,32.3,20.0,94,75,9.3
Merauke,-8.49,29.54,87,0,4.02
Hefei,31.82,4.0,86,64,1.0
Tshane,-24.02,20.72,21,0,4.47
Comodoro Rivadavia,-45.87,11.0,34,20,4.1
Manicore,-5.81,26.39,87,32,0.92
Malyye Derbety,47.95,-11.84,79,24,4.47
East London,-33.02,22.47,100,68,6.12
Vila Franca do Campo,37.72,12.0,87,75,7.2
Barberton,41.01,0.42,68,90,13.9
Muisne,0.61,24.24,91,100,1.32
Vanavara,60.35,-4.39,84,80,3.87
Airai,-8.93,25.37,80,12,0.42
Weyburn,49.67,-22.64,62,32,4.37
Beachwood,41.46,0.43,83,90,16.5
Anito,12.45,25.79,98,36,4.47
Saint-Georges,46.12,0.17,76,92,6.27
Kaeo,-35.1,21.09,51,0,9.42
Manjacaze,-24.71,23.47,88,64,3.17
Cody,44.53,-17.92,84,75,5.1
Gympie,-26.2,22.24,70,92,3.67
Tiarei,-17.53,31.0,66,75,5.1
Mayo,63.59,-15.0,60,40,1.62
Barrow,-38.31,13.24,60,0,6.57
Balkhash,46.84,-15.0,84,90,3.0
Sao Filipe,14.9,23.59,83,0,4.92
Camopi,3.17,23.49,91,68,1.47
Sola,58.89,3.02,100,90,0.5
Shimoda,34.7,12.43,93,75,1.0
Nome,30.04,13.26,69,1,2.6
Dickinson,46.88,-23.0,63,1,3.1
Timiryazevskoye,56.49,-10.0,85,40,5.0
Richards Bay,-28.77,22.77,94,100,1.82
Yerbogachen,61.28,-10.84,87,80,3.27
Svetlogorsk,53.14,-10.0,66,40,2.0
Voh,-20.95,25.52,99,76,10.87
Burgeo,47.61,-7.46,100,8,4.47
Pavlodar,52.28,-19.0,84,0,4.0
Fortuna,38.18,7.5,93,0,1.5
Port Hedland,-20.31,33.0,70,0,5.1
Taikang,46.86,-6.26,55,0,4.92
Praia,-20.25,24.36,69,0,2.6
Port Lincoln,-34.72,25.34,71,0,1.82
Vardo,39.62,7.5,36,75,13.9
Leua,-11.65,17.04,91,8,1.07
Ilulissat,69.22,-10.0,56,48,1.5
Dormidontovka,47.77,-4.09,64,80,3.52
Sinegorskiy,48.01,-8.41,85,36,3.77
Mandalgovi,45.76,-16.99,60,20,1.27
Wanaka,-44.7,11.27,46,0,1.22
Long Xuyen,10.39,26.0,78,0,0.5
Lobva,59.19,-6.54,72,88,2.87
Codrington,-28.95,24.19,68,92,6.7
Belogorsk,45.06,-11.29,100,0,1.17
Praya,-8.71,29.0,79,20,1.0
Saint-Louis,47.59,2.5,80,0,1.77
Grindavik,63.84,6.05,93,40,7.7
Magadan,59.56,-16.09,100,32,5.02
Kindu,-2.95,22.67,87,80,0.52
Rudnya,50.8,-12.46,82,56,3.42
Ilhabela,-23.78,27.79,95,68,2.07
Alexandria,31.31,9.69,35,1,1.5
Pavlysh,48.92,-7.64,80,24,4.47
Aykhal,65.95,-24.99,56,20,3.22
Veraval,49.65,5.0,64,0,3.6
Coquimbo,-29.95,17.0,82,0,3.6
Venado Tuerto,-33.75,20.02,73,0,3.82
Kurri Kurri,-32.82,24.0,50,40,5.7
Srivardhan,18.03,18.79,85,0,2.32
Dongsheng,29.72,3.89,87,92,1.17
Trairi,-3.28,26.34,100,48,1.12
Novaya Zaimka,56.49,-10.09,84,76,5.17
Hailey,43.52,-1.0,100,90,4.1
Masakin,15.32,12.52,59,0,1.17
Iquitos,-3.75,24.0,94,0,1.0
Santa Cruz de la Palma,28.68,18.0,42,0,1.5
Troy,42.73,3.16,80,90,7.2
Waynesville,37.83,0.5,40,1,2.1
Vestmannaeyjar,63.44,5.97,92,12,7.47
Omboue,-1.57,28.24,100,12,3.02
Bollnas,61.35,2.74,60,20,4.47
Suraabad,40.82,6.0,93,90,4.6
Baghdad,33.3,10.0,81,0,3.1
Guerrero Negro,27.97,18.09,51,0,6.22
Saskylakh,71.97,-21.91,60,56,3.17
Gazanjyk,39.24,0.47,80,0,2.42
Huruta,8.15,14.92,78,12,2.22
Manakara,-22.14,23.77,100,32,1.62
Bethel,60.79,1.49,93,90,2.6
Qaanaaq,77.48,-28.26,100,8,3.22
Dingle,11.0,24.12,78,0,4.07
Boyolangu,-8.09,23.34,98,8,1.72
Estelle,32.87,11.0,32,20,3.1
Antofagasta,-23.65,20.0,68,0,2.6
Cherskiy,68.75,-23.34,67,76,5.27
Kannangad,12.31,23.29,100,0,1.92
Santo Estevao,-12.43,28.39,65,8,3.62
Yulin,38.3,-3.61,66,56,1.97
Meulaboh,4.14,25.87,100,24,1.97
Mehran,33.12,3.0,86,0,1.52
Lorengau,-2.02,28.39,96,12,2.22
Lavrentiya,65.58,-2.49,85,8,13.57
Strezhevoy,60.73,-12.0,92,0,5.0
La Ronge,55.1,-22.0,52,20,3.1
Vurnary,55.49,-8.16,87,88,2.92
La Libertad,-16.38,14.0,67,40,1.47
Puerto Colombia,10.99,26.0,78,0,6.2
Bonfim,-20.33,24.0,73,0,1.0
Anderson Mill,32.22,18.38,34,1,3.6
Maceio,-9.67,25.0,88,20,1.5
Tucumcari,35.17,11.0,18,1,6.7
Torbay,47.66,-11.0,56,5,3.6
Calama,-22.46,17.0,46,0,8.2
Karpathos,35.51,13.0,76,68,6.7
Xiongzhou,32.34,2.0,93,44,1.0
Bonavista,48.65,-12.54,98,0,7.12
Geraldton,49.72,-9.0,78,90,9.8
Riyadh,24.63,16.0,67,0,2.1
Kununurra,-15.77,32.0,66,40,2.6
Botwood,49.14,-13.0,50,20,5.1
Dikson,73.51,-21.04,97,68,5.57
Birjand,32.86,0.0,68,0,2.1
Coihaique,-45.58,7.67,66,75,2.1
Wismar,53.89,1.0,86,20,2.1
Soyo,-6.13,25.27,93,24,1.67
Innisfail,52.02,-22.0,83,20,3.1
North Platte,41.12,-12.0,72,1,3.6
Maracaju,-21.61,28.89,56,0,4.07
Upernavik,72.79,-17.64,100,44,8.42
Marrakesh,31.63,14.0,44,0,1.5
Hambantota,6.12,23.0,100,5,1.0
Puerto del Rosario,28.5,15.32,88,0,2.6
Edd,13.93,17.97,93,20,1.07
Owando,-0.49,24.24,92,36,0.92
Ambilobe,-13.19,21.17,100,92,0.87
Alyangula,-13.85,32.0,62,40,3.1
Gangawati,15.43,17.54,50,0,1.27
Padang,-0.92,24.0,94,20,1.0
Muswellbrook,-32.27,21.14,70,68,3.47
Sept-Iles,50.2,-7.0,62,90,11.8
Roald,62.58,7.0,88,92,2.6
Deputatskiy,69.3,-43.04,0,12,1.22
Tieli,46.98,-8.09,43,0,2.42
Prykolotne,50.16,-5.24,89,68,4.37
Tukan,53.84,-12.61,78,76,2.12
Nadym,65.53,-14.36,79,80,3.87
Meghri,38.9,-9.39,81,0,0.42
Inyonga,-6.72,15.74,91,0,1.07
Carnarvon,-30.97,13.54,55,0,2.42
Yenagoa,4.92,26.27,90,92,2.22
Pemberton,-34.44,18.42,69,20,8.12
Gimli,50.63,-19.49,73,36,7.52
Clyde River,70.47,-31.0,74,1,2.1
Jacareacanga,-6.22,23.54,94,48,1.07
Saint George,39.45,2.0,47,90,4.1
Borova,50.18,-0.32,74,75,6.0
Turukhansk,65.8,-14.04,76,76,4.12
Xining,36.62,-9.74,88,88,0.72
Staryy Nadym,65.61,-14.36,79,80,3.87
Tazovskiy,67.47,-21.39,71,64,4.57
Trelew,-43.25,10.62,40,0,8.27
Aklavik,68.22,-5.0,49,40,2.1
Laela,-8.57,13.67,93,44,0.72
San Quintin,17.54,20.89,61,0,1.07
Tiznit,29.7,12.77,62,0,0.97
Broome,52.47,3.38,93,0,0.5
Tommot,58.97,-12.59,78,68,1.97
Tecolutla,17.31,24.89,35,8,1.07
Norman Wells,65.28,-15.0,65,90,1.0
Saint-Philippe,45.36,1.52,88,90,7.2
Linxia,35.6,-5.21,88,80,1.27
Narsaq,60.91,5.0,30,88,12.3
Atar,20.52,15.84,20,0,3.67
Hami,42.84,-8.76,62,0,3.42
Hervey Bay,-25.3,28.0,48,90,7.2
Prince Rupert,54.32,3.0,40,1,1.67
Sampit,-2.54,24.27,99,88,2.02
Praia da Vitoria,38.73,9.0,87,20,11.57
Novyy Urgal,51.07,-14.14,52,0,2.07
Hualmay,-11.1,22.54,82,48,1.77
Bowen,-20.01,27.0,74,75,6.2
Requena,39.49,6.0,93,0,0.5
Koslan,63.46,-3.14,90,88,2.87
Constitucion,23.99,24.0,3,40,8.7
Dutlwe,-23.98,19.99,39,0,2.47
Bay Roberts,47.58,-11.0,56,5,3.6
Nhulunbuy,-12.18,32.0,59,40,3.6
Oussouye,12.49,23.51,60,0,3.1
Georgiyevskoye,44.16,-2.39,97,48,1.22
Namibe,-15.19,23.97,100,92,2.02
Kingman,35.19,9.94,69,1,2.6
Mezofalva,46.93,-2.0,74,0,1.0
San Patricio,-26.98,23.77,94,48,1.82
Tynda,55.15,-17.19,57,36,1.12
Pevek,69.7,-15.99,88,76,7.17
Hammerfest,70.66,2.0,93,75,9.3
Upington,-28.46,22.0,19,0,1.5
Gornyak,51.0,-13.14,71,68,1.77
Saryg-Sep,51.49,-24.29,50,8,0.22
Tuy Hoa,13.08,21.87,96,32,1.52
Mount Gambier,-37.83,31.0,16,20,6.7
Port Macquarie,-31.43,21.0,73,75,2.6
Hermosillo,29.09,23.0,20,5,2.42
Itatinga,-23.1,26.39,68,44,2.87
Pathein,16.78,21.67,94,0,2.77
Naze,5.43,24.59,91,24,2.42
Smithers,54.78,-10.0,61,5,2.1
Oksfjord,70.24,1.06,100,92,3.1
Merritt Island,28.54,25.58,69,1,5.32
Lethem,3.38,29.67,36,0,7.52
Port Blair,11.67,22.0,94,20,1.0
Puerto Escondido,15.86,27.0,74,40,1.5
Teahupoo,-17.83,31.0,66,75,5.1
Sayville,40.74,6.88,100,75,4.1
Baruun-Urt,46.68,-13.99,63,0,3.47
Margate,-43.03,26.0,22,0,4.6
Kamaishi,39.28,3.0,69,75,1.5
Lompoc,34.64,13.35,76,1,5.1
Camocim,-2.9,23.29,98,80,1.67
Noumea,-22.28,26.0,94,90,6.7
Longyearbyen,78.22,-17.0,64,75,7.7
Agirish,61.92,-5.61,86,80,2.67
Victoria,5.28,26.0,94,75,1.0
Ponta do Sol,-20.63,23.22,74,44,1.27
Severo-Kurilsk,50.68,-5.21,100,76,2.32
Loviisa,60.46,5.0,60,0,6.7
Pueblo Nuevo,23.99,26.02,37,48,2.42
Dawei,14.07,21.67,92,20,1.07
Daru,7.99,25.79,63,0,4.12
Yantal,56.85,-5.36,74,24,2.72
Bartica,6.41,23.0,88,20,2.1
Brokopondo,5.06,24.0,83,0,2.6
Ternate,14.29,27.0,69,40,2.1
Cayenne,4.94,26.0,74,92,4.6
Dimitrovgrad,54.22,-8.0,92,90,3.0
Tarn Taran,31.46,8.77,81,8,2.72
Kloulklubed,7.04,28.0,78,75,4.6
Lazarev,52.23,-19.39,73,0,1.72
Ostrogozhsk,50.86,-5.36,90,64,4.52
Taunggyi,20.78,10.02,82,0,0.97
Janesville,42.68,-9.33,72,40,13.52
Kon Tum,14.36,14.97,96,8,0.97
Batemans Bay,-35.71,20.77,80,0,1.27
San Rafael,-34.61,20.89,23,0,3.12
Batagay-Alyta,67.8,-32.94,38,64,1.27
Ayr,55.46,7.52,100,12,1.5
Wanning,48.64,1.0,69,75,2.1
Massakory,13.0,21.39,26,24,4.37
Maputo,-25.97,24.0,88,40,2.6
Rome,41.89,4.01,40,0,1.5
Havoysund,71.0,2.0,93,75,9.3
Katsuura,33.93,8.36,76,40,5.1
Yankton,42.87,-17.0,77,1,6.2
Haines Junction,60.75,-13.16,84,0,0.32
Tomohon,1.33,29.0,74,20,2.1
Moquegua,-17.19,17.67,73,20,1.22
Puerto Baquerizo Moreno,-0.9,28.0,83,75,2.6
Beringovskiy,63.05,-2.74,86,36,6.97
Arlit,18.74,14.37,33,32,4.17
Gigant,46.5,-7.34,93,48,3.42
Orlik,52.51,-25.74,51,8,0.87
Aksarayskiy,46.79,-7.0,79,0,4.0
Port Keats,-14.25,30.54,87,0,1.57
Lagoa,37.14,14.0,76,0,5.1
Jhabua,22.77,11.89,68,0,1.32
Nanortalik,60.14,0.87,95,92,4.52
Stavyshche,50.78,-1.91,88,20,5.27
Agadir,30.42,11.0,57,0,3.1
Hofn,64.25,6.09,88,12,7.92
Berlevag,70.86,1.54,100,76,7.37
Flin Flon,54.77,-24.0,52,5,2.1
Tobol,59.83,-2.0,92,20,1.37
Marawi,8.0,20.47,82,0,1.32
Batticaloa,7.71,25.49,100,92,0.32
Padilla,3.23,24.0,73,75,2.6
Farmington,36.73,-2.14,63,1,3.1
Xiamen,24.46,16.0,77,90,1.0
Maeriste,47.32,-1.53,74,12,1.5
Viedma,-40.81,12.47,59,36,7.57
Yarmouth,50.71,3.51,97,0,1.0
Salta,-24.79,24.1,88,75,2.6
Lisieux,49.15,4.65,60,0,1.0
Mawlaik,23.63,15.92,76,24,1.62
Benton Harbor,42.12,-4.02,68,90,12.9
Luanda,-8.83,26.0,94,40,1.5
Mujiayingzi,42.12,-9.51,55,0,1.22
Colares,38.8,10.63,71,0,2.1
Nelidovo,56.22,1.54,94,80,8.27
Kavaratti,10.57,27.29,100,8,1.77
Yurimaguas,-5.9,25.37,88,12,0.97
Garowe,8.41,18.24,90,8,4.12
Calvia,39.57,3.0,100,0,1.0
Trinidad,-33.52,18.17,78,0,3.22
Loanda,-22.93,22.17,96,36,4.32
Saldanha,41.42,1.02,79,0,1.17
Nyon,46.38,0.0,89,0,1.5
Faanui,-16.48,28.77,99,48,4.82
Khawhai,23.52,12.92,89,76,0.77
Macenta,8.55,22.62,50,0,1.02
Nizhniy Odes,63.64,-6.01,93,76,2.52
Surt,31.21,10.62,100,56,5.27
Evensk,61.92,-22.11,100,56,3.97
Nemuro,43.32,1.0,69,20,3.1
Eureka,40.8,9.5,87,90,4.1
Mabai,23.01,10.27,90,88,1.02
Waipawa,-39.94,12.17,93,92,7.07
Ningbo,29.88,8.0,81,90,1.0
Storsteinnes,69.24,3.52,86,92,18.5
Tura,25.52,16.34,68,44,2.67
Sora,5.57,12.39,95,100,0.87
Dauphin,51.15,-24.0,69,1,5.7
Boden,65.83,5.0,60,32,11.8
Sarangani,5.4,26.77,97,44,4.57
Contai,21.78,20.47,100,0,5.12
Acapulco,16.86,26.0,83,40,2.42
Dahra,36.25,10.0,71,20,3.6
Sirumugai,11.32,21.0,73,8,0.27
Falmouth,50.16,8.0,100,36,6.7
San Cristobal,-0.39,13.24,87,90,2.1
Juneau,58.3,1.0,43,40,2.1
Charters Towers,-20.07,25.97,79,12,4.77
Andra,62.52,-6.96,87,88,2.97
Santa Maria,-29.69,23.0,78,75,3.1
Cilegon,-6.02,28.0,78,40,0.5
Nouadhibou,20.93,20.0,40,0,6.2
Florianopolis,-27.6,24.0,94,40,5.1
Sao Joao da Barra,-21.64,28.67,95,32,7.62
Adrar,27.87,12.0,32,0,6.2
Muscat,23.6,23.0,49,0,2.1
Pacifica,37.61,12.61,54,90,4.6
Meadow Lake,54.13,-22.0,57,5,3.6
Rio Gallegos,-51.62,8.0,65,40,9.3
Mamallapuram,12.63,23.0,94,40,2.1
Husavik,50.56,-19.49,73,36,7.52
Kalawit,7.91,25.87,64,0,3.12
Kolyvan,55.31,-12.0,85,0,5.0
Sundsvall,62.39,6.0,52,0,6.7
Taltal,-25.41,17.27,77,0,1.07
Valleyview,55.07,-17.01,66,0,1.42
Awbari,26.59,5.34,78,0,4.07
Kokologo,12.19,25.0,11,0,2.6
Shache,38.42,-1.29,73,92,2.22
Champerico,16.38,28.0,51,5,6.2
Iqaluit,63.75,-27.0,62,5,4.1
Mitsamiouli,-11.38,27.12,100,0,1.07
Solnechnyy,50.72,-12.76,62,32,1.77
Sonoita,31.68,14.83,37,1,3.6
Onguday,50.75,-21.69,51,0,0.87
Vanimo,-2.67,27.72,100,8,2.12
Kualakapuas,-3.01,28.0,78,100,2.6
Cidreira,-30.17,21.34,100,92,1.37
San Ignacio,-36.8,18.0,36,8,5.1
Okhotsk,59.36,-23.16,100,0,2.02
Anloga,5.79,29.0,83,40,4.1
Piura,-5.2,23.39,97,80,0.67
Mokhsogollokh,61.4,-19.69,73,64,1.22
Seoul,37.57,2.7,86,1,2.1
Guangyuan,32.43,-0.51,85,12,1.32
Gayny,60.3,-6.54,84,88,3.32
Kosh-Agach,49.99,-27.61,58,12,1.32
Ciudad Bolivar,8.12,27.24,60,12,6.82
Sechura,-5.56,25.84,91,36,4.02
Baturaja,-4.12,22.77,99,80,1.97
Cabo San Lucas,22.89,21.44,40,40,2.1
Mago,53.27,-18.24,66,0,1.22
Shushtar,32.05,11.0,87,0,2.1
Gwadar,25.12,18.42,94,0,2.72
Chudniv,50.05,-4.71,89,48,4.32
Maldonado,-34.91,17.59,100,0,2.57
Pontianak,-0.02,25.0,94,40,2.6
Savonlinna,61.87,3.0,74,0,5.1
Kirkland Lake,48.15,0.0,90,90,7.2
Mezen,65.85,0.47,95,88,3.22
Mogadishu,2.04,26.59,100,12,8.62
Sangar,63.92,-31.76,37,12,0.82
Paita,-5.09,25.99,80,20,2.87
Kandrian,-6.21,28.29,83,56,1.87
Zhuhai,40.71,0.0,69,20,6.0
College,64.86,-7.84,66,1,0.62
Bathsheba,13.22,26.0,69,20,10.8
Baracoa,20.35,24.62,100,36,4.32
Flinders,-34.58,23.0,53,40,1.5
Inhambane,-23.87,25.92,92,88,2.97
Kathmandu,27.71,10.0,71,40,1.0
Mecca,21.43,17.84,49,44,1.02
Srednekolymsk,67.46,-29.39,59,64,2.02
Eydhafushi,5.1,27.77,100,12,4.37
Miramar,10.09,22.3,69,20,5.1
Kudahuvadhoo,2.67,28.02,100,12,5.52
Novyy Urengoy,66.08,-18.16,75,88,4.87
Bella Union,8.5,25.02,48,0,2.12
Namatanai,-3.66,29.14,94,36,2.57
Ust-Shonosha,61.15,-0.24,96,92,5.52
Iglesias,42.3,3.0,74,0,0.47
Arman,59.7,-22.79,47,48,1.52
Brasilia,-10.9,28.0,74,40,4.6
Caconda,-13.73,17.47,93,12,2.37
Yavatmal,20.39,17.12,53,0,2.42
Lashio,22.93,12.77,77,0,0.97
Wodonga,-36.12,25.44,34,0,2.6
Otavi,-19.64,16.49,88,24,1.92
Aksarka,66.56,-16.99,68,32,1.17
Nyurba,63.29,-21.94,60,12,1.22
Blythe,33.61,18.0,22,1,2.6
Pandan,11.72,25.74,100,0,5.92
Vao,59.1,1.54,80,0,6.02
Karratha,-20.74,30.09,51,0,1.97
Sivas,39.75,-6.0,100,0,0.5
Rudnyy,52.96,-20.0,83,0,3.0
Vodyane,47.49,-6.01,97,0,4.67
Sabya,16.19,20.54,85,36,0.52
Kapuskasing,49.42,-7.0,85,90,8.7
Olinda,-2.03,27.0,83,75,1.5
Jurmala,56.97,2.0,93,0,2.6
Prabumulih,-3.5,22.87,98,92,1.72
Destin,30.39,15.45,36,1,4.1
Newport,51.59,4.44,60,0,1.5
Klyuchevsk,57.12,-10.0,85,75,8.0
Milos,36.75,8.0,81,92,12.9
Udachnyy,66.42,-22.94,63,8,2.77
Sirjan,29.44,-0.91,68,0,1.22
Qasigiannguit,68.82,-10.0,56,48,1.5
Bima,-8.45,26.04,97,56,0.72
Muli,22.62,15.92,59,0,3.02
Centralia,39.21,-2.17,73,1,7.7
Changji,32.07,1.24,78,64,0.32
North Bend,43.41,3.0,100,90,3.1
Sainte-Marie,46.45,-4.0,100,90,11.3
Kajaani,64.22,2.0,86,90,6.2
Denpasar,-8.65,29.0,83,20,2.6
Avera,33.19,15.52,30,1,4.1
Fairbanks,64.84,-8.53,66,1,0.62
Isangel,-19.55,27.77,100,0,7.07
Iskateley,67.68,-2.76,92,92,6.17
Emerald,-23.53,29.0,39,40,4.6
